Title,"Identifier - fales_io_print000001, bobst_io_print000002 or similar (don't duplicate numbers)",Handle,TypeOfResource,Creator,Contributor,Subject,Tags,Genre,Date,Date Type,Publisher,Publisher Location,Language,Geographic Location,Description
"227° Battaglione della Divisione ""Sila""- ""ogni arma impugno per ogni vittoria""",fales_io_card000162,http://hdl.handle.net/2333.1/83bk3n31,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military (227th Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," Italian soldiers moving rocks, using pickaxes, and carrying rifles. Title translates as ""Wield any weapon for each victory."""
"230° Battaglione della Divisione ""Sabauda""- ""in silenzio opero osando vivo""",fales_io_card000163,http://hdl.handle.net/2333.1/4b8gtmms,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military (230th battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia," Italian soldiers building roads, going into battle, and breaking the chains of Ethiopians."
"Gruppo Bande dell'Altipiano- ""Vita il periglio- esca l'ostacolo- premio la vittoria""",fales_io_card000164,http://hdl.handle.net/2333.1/0k6djm2d,still image,La Monaca,,"Italo-Ethiopian War, 1935-1936",Askari|Italian military|dubat,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Italian soldier on horseback leading an army of Askari and dubats.
III° Gruppo Artiglieria Someggiato Coloniale (Gia' V° Gruppo Batt. Mont. Indig.),fales_io_card000165,http://hdl.handle.net/2333.1/vt4b8kq8,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Askari|Italian military (3rd Artillery Group),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askari leading a donkey carryng an artillery piece.
Gruppo Battaglioni CC.NN. d'Eritrea del R. Corpo Truppe Coloniali,fales_io_card000166,http://hdl.handle.net/2333.1/r2280k65,still image,"Pisani, Vittorio",,"Italo-Ethiopian War, 1935-1936",Askari|Italian military,Postcards,,,,,ita,Ethiopia, Askaro and an Italian soldier.
XIV° Battaglione Eritreo,fales_io_card000167,http://hdl.handle.net/2333.1/m905qjpp,still image,"Pozzo, Dal",,"Italo-Ethiopian War, 1935-1936",Askari (Etritrean)| Italian military (14th Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Eritrean warrior and a lion.
LXXXVI Battaglione Coloniale,fales_io_card000168,http://hdl.handle.net/2333.1/ghx3fj6q,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Askari|lion|Italian military (86th Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Group of Askari (with a lion) and the battalion flag. List of engagements of the battalion.
A.O. Artiglieria Indigena,fales_io_card000169,http://hdl.handle.net/2333.1/bvq83fc6,still image,,,"Italo-Ethiopian War, 1935-1936",Askari|artillery,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askari leading camels loaded with artillery.
VII° Battaglione Indigeno,fales_io_card000170,http://hdl.handle.net/2333.1/73n5tdw0,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Askari,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askari with rifles and a battalion flag.
Direzione di Commissariato Militare della Tripolitania ,fales_io_card000171,http://hdl.handle.net/2333.1/3bk3jd9c,still image,,,"Italo-Ethiopian War, 1935-1936",Libya,Postcards,,,,,ita,Libya,"Italian military camp in Libya. Includes postmark, address, and writing."
"2° Reggimento Artiglieria Coloniale, ""Cuori e Cannoni per il Fante""",fales_io_card000172,http://hdl.handle.net/2333.1/zkh18cz7,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military (2nd Artillery Regiment),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Two Italian soldiers with artillery.
70° Reggimento Fanteria 'Ancona' Africa Orientale,fales_io_card000173,http://hdl.handle.net/2333.1/ttdz0cf0,still image,,,,Italian military (70th Infantry Regiment),Postcards,,,V.E. Boeri,"Rome, Italy",ita,,"Italian soldier smiling, cheering and raising his weapon -  water, Arabic building and palm trees in background.  Includes postmark, postage stamp, address, and writing."
"19° Reggimento Artiglieria Gavnina, ""Certamen Honor et Gloria""",fales_io_card000174,http://hdl.handle.net/2333.1/q2bvqbzs,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military (!9th artillery Regiment)|Selaclaca, Ethiopia",Postcards,,,"Duval, F.","Milan, Italy",ita,"Selaclaca, Ethiopia", Italian soldiers at the battle of Selaclaca.
R. Corpo di Truppe Coloniali (Eritrea) Fanteria Indigeni- 4° Battaglione- Keren,fales_io_card000175,http://hdl.handle.net/2333.1/k98sfbgw,still image,,,"Italo-Ethiopian War, 1935-1936","Askari (Eritrean)|Italian military (4th Infantry Battalion)|Keren, Eritrea",Postcards,,,,,ita,"Keren, Eritea","Italian military fort at Keren, Eritrea."
R. Corpo di Truppe Coloniali (Eritrea) Fanteria Indigeni- 3° Battaglione- Asmara,fales_io_card000176,http://hdl.handle.net/2333.1/fn2z37m4,still image,,,"Italo-Ethiopian War, 1935-1936","Askari (Eritrean)|Italian military (3rd Infantry Battalion)|Asmara, Eritrea",Postcards,,,,,ita,"Asmara, Eritrea"," Italian military fort in Asmara, Eritrea."
R. Corpo di Truppe Coloniali (Eritrea) Fanteria Indigeni- 2° Battaglione- Saganeiti,fales_io_card000177,http://hdl.handle.net/2333.1/9w0vt743,still image,,,"Italo-Ethiopian War, 1935-1936","Askari (Eritrean)|Italian military (3rd Infantry Battalion)|Saganeiti, Eritrea",Postcards,,,,,ita,"Saganeiti, Eritrea"," Italian military fort in Saganeiti, Eritrea."
"R. Corpo Truppe Coloniali Eritrea- Genio- Massaua, Asmara, Addis Abeba",fales_io_card000178,http://hdl.handle.net/2333.1/63xsj6kg,still image,,,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean)|Italian military ,Postcards,,,,,ita,Eritrea, Italian military fort in Eritrea with soldiers (Askari and Italian) constructing electric lights.
"LXXVII Battaglione Coloniale, ""Ruo Audacia Franco""",fales_io_card000179,http://hdl.handle.net/2333.1/2bvq862b,still image,"Tafuri, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari|Italian military (67th Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Askari wielding rifles and a battalion flag.
Untitled,fales_io_card000180,http://hdl.handle.net/2333.1/xksn05q6,still image,,,"Italo-Ethiopian War, 1935-1936",Askari|Ethiopia,Postcards,,,,,ita,Ethiopia, Askari rushing into battle - one has fallen and lost his hat - one is waving a blue and yellow striped flag.
Regio Corpo di Truppe Coloniali- Saganeiti- Ten. E. Caretta,fales_io_card000181,http://hdl.handle.net/2333.1/stqjq575,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Saganeiti, Eritrea",Postcards,,,Doyen-Turin,,ita,"Saganeiti, Eritrea","Photo of a military base in Saganeiti, Eritrea."
Regio Corpo di Truppe Coloniali- Asmara- Ten. E. Caretta,fales_io_card000182,http://hdl.handle.net/2333.1/p2ngf4r3,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Asmara, Eritrea",Postcards,,,Doyen-Turin,,ita,"Asmara, Eritrea","Photo of a military base in Asmara, Eritrea."
1 Gruppo Battaglioni CC. NN. d'Eritrea,fales_io_card000183,http://hdl.handle.net/2333.1/jdfn31xk,still image,"Tafuri, Pittore",,"Italo-Ethiopian War, 1935-1936",Italian military (1st Battalion Machine Gunners),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Two dead Italian soldiers slumped over their machine gun.
"Battaglione Alpini ""Uork Amba"" AOI- 27 Febbraio 1936",fales_io_card000184,http://hdl.handle.net/2333.1/dncjt1d9,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (Alpine Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Italian soldier.
"11°  Reggimento Alpini- Battaglione Saluzzo, Battaglione Intra, Battaglione Trento",fales_io_card000185,http://hdl.handle.net/2333.1/8w9gj0vq,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian miitary (11th Regiment Alpine Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,Italian soldier atop a hill. List several military enagagements of the Alpine Battalion.
"A.O. ""Fervent Rotae- Fervent Animi""",fales_io_card000186,http://hdl.handle.net/2333.1/547d80bm,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Ethiopia,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,Italian soldiers in Italian military jeeps crossing rocky terrain.
Il 3°  Reggimento Granatieri di Sardegna in A.O.I. ,fales_io_card000187,http://hdl.handle.net/2333.1/1c59zztz,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military (3rd Regiment, Mechanized Brigade)",Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Six Italian soldiers on mountainous terrain.
Il Duca d'Aosta e L'Eroica Difesa dell'Amba Alagi,fales_io_card000188,http://hdl.handle.net/2333.1/wm37pzh8,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Battle of Amba Alagi, Ethiopia",Postcards,,,,,ita,"Amba Alagi, Ethiopia", Italian soldiers in the battle of Amba Alagi.
76°  Reggimento Fanteria,fales_io_card000189,http://hdl.handle.net/2333.1/rxwdbvpp,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (76th Infantry Regiment)|Battle of Adwa,Postcards,,,,,ita,Ethiopia, Sword-wielding saint honoring Italian soldiers who fought in the battle of Adwa.
"3°  Reggimento F. Carrista- ""Pondere et Igne Juvat""",fales_io_card000190,http://hdl.handle.net/2333.1/n5tb2v6t,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (3rd Regiment)|Ethiopia|Somalia,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,"Italian soldier atop a tank. Includes postmark, postage stamp, adressee, and writing."
"XXIV Divisione Gran Sasso- Africa Orientale- ""La Fortissima""",fales_io_card000191,http://hdl.handle.net/2333.1/hdr7stqk,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (24th Division),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Italian soldiers charging up a hill.
"XII Reparto d'Assalto ""Irriducibile"" A.O. ",fales_io_card000192,http://hdl.handle.net/2333.1/cnp5ht56,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (12th Assault Unit),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Military unit logo.
530°  Battaglione Mitraglieri Divisionale Sabauda ,fales_io_card000193,http://hdl.handle.net/2333.1/7wm37snv,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military (530th Battalion),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia, Machine gunners.
3°  Reggimento Bersaglieri Africa Orientale,fales_io_card000194,http://hdl.handle.net/2333.1/44j0zs4m,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military (3rd Infantry Regiment),Postcards,,,V.E. Boeri,"Rome, Italy",ita,,  Rifleman.
"116a Batteria CC. NN. ""Alpina"" formata dalla 3a Legione M.D.I.C.A.T.- Milano- ""Sempre e ovunque,"" ""Summa audacia et virtus"" AO",fales_io_card000195,http://hdl.handle.net/2333.1/0cfxprnd,still image,"D'ercoli, Manlio",,"Italo-Ethiopian War, 1935-1936",Italian military (116th Battery Division),Postcards,,,V.E. Boeri,"Rome, Italy",ita,, Italian soldiers with cannon.
Comando Truppe Regio Governo Eritreo. Deposito Centrale Coloniale.,fales_io_card000196,http://hdl.handle.net/2333.1/vq83bnzz,still image,Boedi,,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean)|Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Eritrea, Flags of Askari units.
I Fedelissimi Askari all'Assalto,fales_io_card000197,http://hdl.handle.net/2333.1/qz612ng2,still image,"Del Sordo, A.",,"Italo-Ethiopian War, 1935-1936",Askari|Italian military,Postcards,,,Gaetano Schenone,"Genoa, Italy",ita,Ethiopia, Askari assualt with Italian officers.
Arma di Fanteria,fales_io_card000198,http://hdl.handle.net/2333.1/m63xsn0z,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Religion,Postcards,,,F. Duval,"Milan, Italy",ita,Ethiopia," The ""white angel of victory"" inspiring Italian soldiers in battle."
Colonia Eritrea,fales_io_card000199,http://hdl.handle.net/2333.1/gf1vhmfc,still image,,,"Italo-Ethiopian War, 1935-1936",Eritrea,Postcards,,,,,ita,Eritrea,  Map of Eritrea.
"4° Divisione Camicie Nere ""3 Gennaio""",fales_io_card000200,http://hdl.handle.net/2333.1/bnzs7kxz,still image,,,"Italo-Ethiopian War, 1935-1936",Ethiopia|Eritrea|Italian military (4th Division),Postcards,,,Navarra,"Milan, Italy",ita,Ethiopia|Eritrea,"Marker demonstrating ""SPQR"" - for the Senate and the people of Rome."
1° Battaglione Carri Veloci della Somalia Italiana,fales_io_card000201,http://hdl.handle.net/2333.1/6wwpzkdp,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military (1st battalion)|Somalia|lion,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Italian tank with a lion.
Battaglione Carri d'Assalto del Governo del Harar,fales_io_card000202,http://hdl.handle.net/2333.1/34tmpjxm,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936","Italian military|Harar, Ethiopia|lion",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Harrar, Ethiopia", Tank (with a lion) participating in the assault on the Ethiopian city of Harar.
"75° Reggimento Fanteria ""Napoli""- ""Ignis in Corde""",fales_io_card000203,http://hdl.handle.net/2333.1/zgmsbg78,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (75th Infantry Regiment),Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Soldiers of the 75th Infantry Regiment. Includes postmark, post stamp, and address."
R. Corpo Truppe Coloniali- Eritrea- Cacciatori d'Africa,fales_io_card000204,http://hdl.handle.net/2333.1/tqjq2fr5,still image,,,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean)|Italian military,Postcards,,,,,ita,, Eritrean Askari with Italian officers
"3a Divisione CC. NN. ""21 Aprile""",fales_io_card000205,http://hdl.handle.net/2333.1/pzgmsf7w,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (3rd Division),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,Battle scene in the Italo-Ethiopian War.
Arma di Fanteria,fales_io_card000206,http://hdl.handle.net/2333.1/k6djhdpb,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|religion,Postcards,,,F. Duval,"Milan, Italy",ita,Ethiopia," The ""black angel of victory"" on a battlefield of Italian soldiers. Includes postmark, post stamp, address, and writing."
Ai nostri soldati in Africa Orientale,fales_io_card000207,http://hdl.handle.net/2333.1/ffbg7d56,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Ethiopia,Postcards,,copyrightDate,Rizzoli,"Milan, Italy",ita,Ethiopia, A flag-holding statue and a poem written for Italian soldiers serving in East Africa.
Usque ad Finem,fales_io_card000208,http://hdl.handle.net/2333.1/9p8czcnq,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|lion,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,"Card by the Federazione Fascista.  Italian soldier holding a flag. In the background is the image of a lion, with a sword stuck in his back."
"Noi vi segnamo la strada, voi costruitela",fales_io_card000209,http://hdl.handle.net/2333.1/5x69pc5t,still image,"Apolloni, Livio",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Italian soldiers and military construction workers. Title translates ""Let us mark the way, you build it."""
Il 1° Battaglione del 3° Granatieri all'Attacco di Passo Uarieu ,fales_io_card000210,http://hdl.handle.net/2333.1/280gb8ck,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military (1st battalion|Battle of Uorc-Amba, Ethiopia",Postcards,,,F. Duval,"Milan, Italy",ita,"Uorc-Amba, Ethiopia"," Italian soldiers attacking during a battle at Uorc-Amba, Ethiopia."
"Battaglione Alpini ""Uork Amba""- La Conquista dell'Uork Amba Notte dal 26 al 27 Febbraio 1936",fales_io_card000211,http://hdl.handle.net/2333.1/xgxd282t,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Battle of Uorc-Amba, Ethiopia",Postcards,,,V.E. Boeri,"Rome, Italy",ita,"Uorc-Amba, Ethiopia"," Italian soldiers attacking during a battle at Uorc-Amba, Ethiopia."
Arma Aeronautica- L'Aviazione e' l'Arma del Domani- Buon Natale,fales_io_card000212,http://hdl.handle.net/2333.1/sqv9s7h3,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936",Italian military|airplanes,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Italian military airplane.
2° Cacciatori d'Africa,fales_io_card000213,http://hdl.handle.net/2333.1/nzs7h6zh,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military (2nd Infantry),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Ethiopia,"Italian military officer with a division flag. List battles fought by the division. Includes postmark, post stamp, address and writing."
Visioni della Conquista dell'Impero- Passa la Bandiera di un Eroico Reggimento di Fanteria,fales_io_card000214,http://hdl.handle.net/2333.1/j6q576fd,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,,Photo of two Italian soldiers.
Lotteria di Tripoli- Acquistate un biglietto!,fales_io_card000215,http://hdl.handle.net/2333.1/dfn2z5xx,still image,,,"Italo-Ethiopian War, 1935-1936","Tripoli, Libya",Postcards,,,,,ita,"Tripoli, Libya"," Two Libyans, one on  a camel."
Nel riposo i ricordi,fales_io_card000216,http://hdl.handle.net/2333.1/8pk0p5f1,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of two solidiers, one resting on a rifle and the other writing a letter."
Il Paesello Lontano,fales_io_card000217,http://hdl.handle.net/2333.1/51c5b2ns,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Campassi,"Turin, Italy",ita,,Photo of a soldier thinking of his home village.
Serenita' nel Periglio,fales_io_card000218,http://hdl.handle.net/2333.1/1893225w,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Campassi,"Turin, Italy",ita,,Photo of a soldier outside of his tent.
Barriera d'acciaio,fales_io_card000219,http://hdl.handle.net/2333.1/wh70s1sc,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of three soldiers, one wielding a bayonet and rifle. The title translates as ""steel barrier."""
La Lettera al Papa,fales_io_card000220,http://hdl.handle.net/2333.1/rr4xh17w,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of a mother and daughter writing a letter to a soldier, who is seen with fellow soldiers in an inset. The title translates as ""A letter to father."""
La Preghiera per il Partente,fales_io_card000221,http://hdl.handle.net/2333.1/n02v70qk,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of a woman holding a picture of a soldier as a boat full of soldiers appear in her window departing the shore. The title translates as, ""A prayer for the departing."""
Voti per il Papa'- Edizioni Patriottiche- Vera Fotografia,fales_io_card000222,http://hdl.handle.net/2333.1/h70rz069,still image,,,"Italo-Ethiopian War, 1935-1936",Italiian military|family,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of a little girl praying for her father, who appears as a fading image in the background. Title translates as, ""Praying for father."""
Donna Carrista,fales_io_card000223,http://hdl.handle.net/2333.1/cfxpnzqz,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|tanks,Postcards,,,F. Duval,"Milan, Italy",ita,," Donna Carrista, with tanks in the background."
Untitled,fales_io_card000224,http://hdl.handle.net/2333.1/7sqv9vwf,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Mario Crimella,"Milan, Italy",ita, ,Photo of father (soldier) and son - lines from A. Mazzotti.
La Patria Attende ,fales_io_card000225,http://hdl.handle.net/2333.1/41ns1vdk,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Campassi,"Turin, Italy",ita,,"Photo of a woman on a balcony overlooking returning soldiers/ Title tarnslates as ""The country awaits the victory."
Unttitled,fales_io_card000226,http://hdl.handle.net/2333.1/08kprtvv,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,Mario Crimella,"Milan, Italy",ita,,Boy showing girl map of East Africa and pointing to where his father is stationed. Includes lines by Mazzotti.
Untitled,fales_io_card000227,http://hdl.handle.net/2333.1/vhhmgthx,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Mario Crimella,"Milan, Italy",ita,,"Photo of a smiling soldier waving and carrying rifle/bayonet, with African hills in the  background. Includes  lines from A. Mazzotti."
Untitled,fales_io_card000228,http://hdl.handle.net/2333.1/qrfj6t0s,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Mario Crimella,"Milan, Italy",ita,,Father (soldier) smiling and holding smiling son. Includes lines from A. Mazzotti. Includes address.
Untitled,fales_io_card000229,http://hdl.handle.net/2333.1/m0cfxshk,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,,ita,,Photo of a woman daydreaming while writing a letter. She envisions  airplanes and a soldier.
Untitled,fales_io_card000230,http://hdl.handle.net/2333.1/g79cns1p,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,,ita,,"Photo of a soldier on a bicycle in bottom left, with a  smiling woman holding a letter at top right."
Buon Natale,fales_io_card000231,http://hdl.handle.net/2333.1/bk3j9p5x,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,,ita,,"Italian soldier, with a mini flag tucked into his helmet, holding a young woman who caresses his face. Title translates as ""Merry Christmas."""
Soave Ricompensa,fales_io_card000232,http://hdl.handle.net/2333.1/6t1g1npt,still image,"Monestier, T.",,"Italo-Ethiopian War, 1935-1936",Italian military|family,Postcards,,,,,ita,," Soldier hugging a young woman. A map of Eritrea, Ethiopia and Somalia are at the top right.  Title translates as ""sweet reward."""
Untitled,fales_io_card000233,http://hdl.handle.net/2333.1/31zcrn48,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military|Religion,Postcards,,,,,ita,," Angels, on top of a tank, pouring gifts out of a basket. Boun Natale (""Merry Christmas"") is written on the back."
Untitled,fales_io_card000234,http://hdl.handle.net/2333.1/z8w9gms4,still image,"Follino, A.",,"Italo-Ethiopian War, 1935-1936",Italian military|Religion,Postcards,,,,,ita,,"Angels delivering gifts and a mini Christmas tree to army tents. Buon Natale (""Merry Christmas"") is written on the back."
Untitled,fales_io_card000235,http://hdl.handle.net/2333.1/tht76m80,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,,"A six panel cartoon depicting a  soldier racing through enemy lines to deliver a message to the Captain. He gets injured but doesn't care. Includes postmark, address, and writing."
Untitled,fales_io_card000236,http://hdl.handle.net/2333.1/prr4xksr,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,ita,,"A six panel cartoon depicting soldiers preparing Molotov cocktails to blow up an advancing tank - they succeed. Includes postmark, address, and writing."
Orlando Lorenzini,fales_io_card000237,http://hdl.handle.net/2333.1/k0p2nk9w,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Lorenzini, Orlando|Gold Medal|Italo-Ethiopian War",Postcards,,,Studio Tecnico-Editoriale,"Roma, Italy",ita,"Keren, Eritrea","In honor of Italian General Orlando Lorenzini, who was killed in action at Keren, Eritrea in 1941. He was awarded the Gold Medal of Valor.  Lorenzini fighting on the battlefied."
Antonio Cavalleri,fales_io_card000238,http://hdl.handle.net/2333.1/fbg79gf4,still image,"Ferrari, Giulio",,"Italo-Ethiopian War, 1935-1936","Italian military|Cavalleri, Antonio|Gold Medal|Italo-Ethiopian War",Postcards,,,Studio Tecnico-Editoriale,"Roma, Italy",ita,,In honor of Italian Captain Antonio Cavalleri who was killed in action and awarded a Gold Medal.  Cavalleri in battle shooting a rifle.
Luciano Gavazzi,fales_io_card000239,http://hdl.handle.net/2333.1/9kd51fz1,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Gavazzi, Luciano|Gold Medal|Italo-Ethiopian War",Postcards,,,Studio Tecnico-Editoriale,"Roma, Italy",ita,"Uolchefit, Ethiopia","In honor of Luciano Gavazzi, who was killed in action during a battle in Uolchefit, Ethiopia. He was awarded a Gold Medal.  Gavazzi in the midst of the battle."
Mario Nacci,fales_io_card000240,http://hdl.handle.net/2333.1/5tb2rfdh,still image,,,"Italo-Ethiopian War, 1935-1936","Italian military|Nacci, Mario|Italo-Ethiopian War|Gold Medal",Postcards,,,Pizzo & Pizio,"Milan- Rome, Italy",ita,,"In honor of Mario Nacci, who was killed in the Italo-Ethiopian war in 1936. He was awarded a Gold Medal.  Nacci as he is struck by a bullet while surrounded by Askari."
Civilizzazione,fales_io_card000241,http://hdl.handle.net/2333.1/2280gdw6,still image,Deseta,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Ethiopians holding a white baby, as an Italian soldier look on. Ethiopians note that with civilization comes whiteness."
Esercito Abissino,fales_io_card000242,http://hdl.handle.net/2333.1/x95x6dj5,still image,Deseta,,"Italo-Ethiopian War, 1935-1936",Italian military|gender stereotypes,Postcards,,,V.E. Boeri,"Rome, Italy",ita,," Italian soldiers pointing out ""Ethiopian"" women warriors. Includes postmark and address."
Untitled,fales_io_card000243,http://hdl.handle.net/2333.1/sj3txd3c,still image,Lavorro,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,"Turin, Italy",ita,, Italian soldier showing an African how to plow a field.
Untitled,fales_io_card000244,http://hdl.handle.net/2333.1/ns1rncm8,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism,Postcards,,,,,,," Young Italian boy in uniform riding on a missile, carrying a smoking chalice, over tents in the desert. Buno Anno (""Happy New Year"") on the back."
Natale a Ginevra,fales_io_card000245,http://hdl.handle.net/2333.1/j3tx98rg,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|gender stereotypes|Ethiopia,Postcards,,,A. Craldi,"Milan, Italy",ita,," Ethiopian King leading his people in handcuffs toward the League of Nations. Title translates as ""Christmas in Geneva."""
20 Anni Dopo,fales_io_card000246,http://hdl.handle.net/2333.1/dbrv188k,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|France|England|Belgium|Ethiopia,Postcards,,,A. Craldi,"Milan, Italy",ita,,"Two panel drawing contrasting Italy's benificence towards France, Belgium and England, while 20 years later those countries provide support to Africans against Italy."
Buon Natale,fales_io_card000247,http://hdl.handle.net/2333.1/8kprr7qv,still image,,,"Italo-Ethiopian War, 1935-1936",Italian colonialism|Religion,Postcards,,,,"Milan, Italy",Ita,," Angel playing trumpet over Africans and their huts. Includes address. Title translates as ""Merry Christmas."""
Abbiamo gia vinto,fales_io_card000248,http://hdl.handle.net/2333.1/4tmpg76q,still image,"Ingegnoli, B.",,"Italo-Ethiopian War, 1935-1936",Italian military|Religion,Postcards,,,Casa Editrice Scledense,"Schio, Italy",ita,," Priest giving last rites to a dying Italian soldier. Title translates as ""We have already won."""
Untitled,fales_io_card000249,http://hdl.handle.net/2333.1/12jm66pd,still image,"Ingegnoli, B.",,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,Casa Editrice Scledense,"Schio, Italy",ita,Ethiopia," Ethiopian soldier, with a sword,  attacking an Italian soldier as his comrade swings a rifle at the Ethiopian."
